product_id,product_name,category,description,unit_price,cost,billing_type,is_active,created_date
PROD-0001,Up-sized high-level benchmark Package,Software Development,Choice cell sister day prevent wish. Never father throw marriage. Without help now particular prove figure road cost.,38198.35,24792.81,Monthly,False,2023-09-25
PROD-0002,Robust high-level approach Service,Training,Person visit let check tend. Break street anything stage check face feeling.,33505.45,585.28,One-time,True,2022-01-03
PROD-0003,Ergonomic homogeneous approach Service,Consulting,Theory return rate most organization red significant away. Very decide day.,27342.06,7321.73,One-time,True,2020-08-17
PROD-0004,Compatible object-oriented open architecture Package,Training,Chair hold every remain just also. Draw argue vote language. One drop different.,17602.58,9054.48,Yearly,True,2023-02-15
PROD-0005,Assimilated neutral Graphic Interface Solution,Software Development,Political fight eight hotel protect significant every. Heavy billion foot site behind challenge key. Eat its practice program.,29881.78,4846.46,Monthly,False,2021-04-14
PROD-0006,Persistent tangible support Service,Consulting,About month establish week turn list. Physical crime bar section. Rule around chair deal force after. Yes kind personal hear team list.,14604.36,19919.83,Monthly,True,2024-12-08
PROD-0007,Progressive transitional process improvement Package,Software Development,Citizen message with face clear. One music sound federal draw laugh. Upon recent another five newspaper memory.,20047.33,7153.91,Hourly,False,2022-01-07
PROD-0008,Cross-platform dedicated standardization Service,Training,Century move opportunity stand weight international government start. Ever outside value item discover property everyone thank. Spring wife full car.,9808.0,23036.25,Yearly,True,2024-12-01
PROD-0009,Self-enabling attitude-oriented encryption Package,Consulting,Arrive herself choice. Education garden condition discuss about talk.,48652.16,8873.61,One-time,True,2024-02-24
PROD-0010,Customizable exuding benchmark Package,Software Development,Stop six side rich top significant parent. Receive Mrs best forward large cup international. No over tax peace interesting thus.,11058.81,6154.13,One-time,True,2023-10-11
PROD-0011,Centralized tertiary pricing structure Service,Training,Artist realize poor everything better note article form. Effort too total same want allow.,47777.68,13946.94,Yearly,True,2024-07-28
PROD-0012,Decentralized local Graphic Interface Solution,Training,Our put miss dinner evening. Section contain deal analysis choice. Bad difference drive share.,36566.54,10145.07,Yearly,True,2021-09-01
PROD-0013,Face-to-face executive open system Solution,Software Development,About end finish might rock either. Produce teacher animal industry.,35976.26,20890.03,One-time,True,2022-09-02
PROD-0014,Enterprise-wide explicit firmware Package,Support,Research wind several hard message discuss appear. Manage sort idea evening much order. Make will guy store change gun hot.,40596.16,7248.42,Yearly,True,2020-06-17
PROD-0015,De-engineered zero tolerance contingency Service,Licensing,Task focus approach whatever beat be. At will behavior group always move. At life energy near.,11937.61,12093.5,Yearly,True,2022-11-08
PROD-0016,Grass-roots explicit standardization Solution,Software Development,Memory along TV paper hotel true author. Major glass drop indicate north not. Final four business believe first better not.,12050.4,25567.26,Hourly,True,2023-11-18
PROD-0017,Triple-buffered 4thgeneration knowledgebase Service,Licensing,Kind actually inside. Rule unit body four great feeling treatment.,631.79,18892.04,Monthly,True,2020-01-21
PROD-0018,Self-enabling global encoding Service,Consulting,Chance employee produce fall lead. Sit benefit throughout fire summer democratic. Article lead between mouth actually.,7924.59,18864.78,Hourly,True,2021-03-14
PROD-0019,Centralized needs-based interface Service,Software Development,"Action into whom represent leg water figure. Stay if it Mrs consider.
Fund if left nature serve always live. Provide glass about security.",3044.82,8806.95,Yearly,True,2023-05-18
PROD-0020,Future-proofed 4thgeneration benchmark Package,Licensing,"Source you to rise study letter force measure.
Customer while personal Mr example. Language he without indicate discover.",47591.64,12868.47,Yearly,True,2024-04-07
PROD-0021,Vision-oriented high-level utilization Package,Training,General author here body wonder side. All each line soon my teach nor.,25473.97,27350.95,Hourly,True,2023-11-26
PROD-0022,Organic motivating core Service,Consulting,Like goal parent movement. Economy level trip human close sign while. Assume agreement think soldier task half peace. Relate great race table.,39927.88,19741.3,Hourly,True,2021-02-01
PROD-0023,Visionary heuristic success Solution,Licensing,Sign about none talk close. Man recent hotel doctor write first nor. Politics issue office bar protect available. Main build school detail.,30778.63,2053.21,Hourly,True,2020-06-19
PROD-0024,Reactive high-level superstructure Package,Licensing,"Cold money down quality. Education section behind large I degree.
Increase decide beyond message offer. Leader nor staff. Class attorney more real.",39011.62,2246.74,Yearly,False,2024-01-07
PROD-0025,Quality-focused 5thgeneration contingency Service,Training,Government color property citizen. Also still bag environment. Performance partner though draw.,36560.4,2967.29,Monthly,True,2023-10-07
PROD-0026,Digitized next generation process improvement Service,Consulting,Future state pass television understand art main. Appear game week sister tell. How matter increase. Alone prepare popular like nothing.,31930.49,8599.44,One-time,True,2021-06-08
PROD-0027,Ameliorated intangible strategy Solution,Consulting,Eight sea perhaps seek. According focus make building note raise today. Receive question force.,4718.43,2811.52,Hourly,True,2024-11-04
PROD-0028,Ergonomic bandwidth-monitored pricing structure Service,Software Development,Step from item store attack. Boy significant guess member rise drug.,30139.68,23689.25,Yearly,True,2020-04-20
PROD-0029,Ergonomic high-level challenge Service,Consulting,"Note prepare maybe fall security. Mr other baby method.
Staff room ahead over agent difficult. House service main two.",44482.27,23189.75,One-time,False,2023-09-25
PROD-0030,Diverse national service-desk Package,Consulting,Forget arm miss prepare debate wait close. Establish space rest senior suddenly system agent. Hotel wide tell toward.,639.66,25629.72,Hourly,True,2022-09-21
PROD-0031,Multi-channeled executive support Service,Consulting,"Score evening effect star. Special author party evidence.
At present easy hotel provide audience. Different reach involve sort safe.",1105.97,1912.72,Monthly,False,2024-10-21
PROD-0032,Ameliorated 24/7 info-mediaries Solution,Consulting,Son debate when court operation standard half. Always well story small. Gun certainly realize.,29361.62,26194.04,One-time,False,2022-02-13
PROD-0033,Versatile object-oriented alliance Service,Training,Physical allow receive fall smile production people. Hour various do current.,28316.22,5795.26,One-time,True,2020-07-09
PROD-0034,Devolved multimedia initiative Service,Consulting,Born way special computer fish goal. Statement not sing become. Challenge near according enjoy common.,44587.53,27420.49,One-time,True,2022-07-01
